DATE,NC,SC,T_WA
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
2019-03-29,52.3,57.0,53.84756464846575
